"Lines","Long","Lat","crop","ph_value"
"88",0.683333,47.4,"arabidopsis",63
"108",-4.06667,48.5167,"arabidopsis",61
"139",-4.06667,48.5167,"arabidopsis",61
"159",3.93333,47.35,"arabidopsis",63
"265",-1.16667,44.65,"arabidopsis",NA
"350",4.11667,46.6667,"arabidopsis",60
"351",4.11667,46.6667,"arabidopsis",60
"403",16.2667,49.3667,"arabidopsis",58
"410",16.3497,49.4211,"arabidopsis",54
"424",16.2815,49.4112,"arabidopsis",64
"428",16.232,49.403,"arabidopsis",66
"430",15.5,47,"arabidopsis",NA
"470",-87.735,40.8313,"arabidopsis",66
"476",-87.735,40.8313,"arabidopsis",66
"484",-87.735,40.8313,"arabidopsis",66
"504",-87.735,40.8313,"arabidopsis",66
"506",-87.735,40.8313,"arabidopsis",66
"531",-87.735,40.8313,"arabidopsis",66
"544",-73.2089,40.9076,"arabidopsis",NA
"546",-73.2089,40.9076,"arabidopsis",NA
"628",-72.9069,40.7777,"arabidopsis",46
"630",-72.9069,40.7777,"arabidopsis",46
"680",-72.8615,40.9447,"arabidopsis",48
"681",-72.8615,40.9447,"arabidopsis",48
"685",-73.1493,40.9064,"arabidopsis",52
"687",-73.1493,40.9064,"arabidopsis",52
"728",-73.114,40.9352,"arabidopsis",49
"742",-73.114,40.9352,"arabidopsis",49
"763",74.3667,42.3,"arabidopsis",67
"765",73.41,42.19,"arabidopsis",64
"766",73.6333,42.5833,"arabidopsis",64
"768",76.35,42.8,"arabidopsis",71
"772",72.4667,37.35,"arabidopsis",75
"801",-84.4639,37.9169,"arabidopsis",60
"853",-86.6691,41.7976,"arabidopsis",62
"854",-86.6691,41.7976,"arabidopsis",62
"867",-86.4366,41.8266,"arabidopsis",60
"868",-86.4366,41.8266,"arabidopsis",60
"870",-86.4366,41.8266,"arabidopsis",60
"915",-71.4378,41.8972,"arabidopsis",49
"932",-71.1445,42.3634,"arabidopsis",NA
"991",14.0526813,55.3822641,"arabidopsis",66
"992",14.0526813,55.3822641,"arabidopsis",66
"997",14.0526813,55.3822641,"arabidopsis",66
"1002",14.0526813,55.3822641,"arabidopsis",66
"1006",14.0526813,55.3822641,"arabidopsis",66
"1061",14.1333,55.7167,"arabidopsis",61
"1062",14.1333,55.7167,"arabidopsis",61
"1063",14.1333,55.7167,"arabidopsis",61
"1066",14.1333,55.7167,"arabidopsis",61
"1070",14.1333,55.7167,"arabidopsis",61
"1158",16.5167,56.7,"arabidopsis",60
"1166",16.5167,56.7,"arabidopsis",60
"1254",17.0167,59.4333,"arabidopsis",53
"1257",17.0167,59.4333,"arabidopsis",53
"1313",16.8667,59.5667,"arabidopsis",53
"1317",16.8667,59.5667,"arabidopsis",53
"1552",18.3667,63.0833,"arabidopsis",45
"1612",-86.583,41.9,"arabidopsis",NA
"1622",-86.583,41.9,"arabidopsis",NA
"1651",-86.4045,43.3431,"arabidopsis",NA
"1652",-86.4045,43.3431,"arabidopsis",NA
"1676",-86.607,41.879,"arabidopsis",NA
"1684",-86.607,41.879,"arabidopsis",NA
"1739",-85.398,42.405,"arabidopsis",60
"1741",-85.398,42.405,"arabidopsis",60
"1756",-86.358,42.184,"arabidopsis",55
"1757",-86.358,42.184,"arabidopsis",55
"1793",-86.67,41.847,"arabidopsis",57
"1797",-86.67,41.847,"arabidopsis",57
"1819",-86.67,41.8,"arabidopsis",62
"1820",-86.67,41.8,"arabidopsis",62
"1829",-86.509,42.051,"arabidopsis",NA
"1834",-86.509,42.051,"arabidopsis",NA
"1835",-86.509,42.051,"arabidopsis",NA
"1851",-86.2657,43.595,"arabidopsis",51
"1852",-86.2657,43.595,"arabidopsis",51
"1853",-86.2657,43.595,"arabidopsis",51
"1872",-86.2657,43.595,"arabidopsis",51
"1890",-86.1859,43.5139,"arabidopsis",48
"1925",-86.1843,43.5251,"arabidopsis",48
"1942",-86.1843,43.5251,"arabidopsis",48
"1943",-86.1843,43.5251,"arabidopsis",48
"1954",-86.1739,43.5187,"arabidopsis",46
"2016",-86.1788,43.5356,"arabidopsis",49
"2017",-86.1788,43.5356,"arabidopsis",49
"2031",-86.412,42.166,"arabidopsis",59
"2053",-86.412,42.166,"arabidopsis",59
"2057",-86.412,42.166,"arabidopsis",59
"2081",-86.3368,43.2483,"arabidopsis",49
"2091",-86.3368,43.2483,"arabidopsis",49
"2106",-86.0891,43.2749,"arabidopsis",52
"2108",-86.0891,43.2749,"arabidopsis",52
